gen,evals,hypervol,dist_diag,time,firts_front,avg,std,min,max
29,250,637063215955.5181,357.48189834665743,0.29035449028015137,37,[8138.184 8396.7   8419.348],[220.03837425 210.13434274 219.90767812],[7436. 7779. 7720.],[8620. 8797. 8844.]
30,250,671821122464.0037,370.6819915302117,0.2560160160064697,40,[8152.408 8401.772 8427.296],[228.6273508  220.28289088 228.63406654],[7436. 7671. 7720.],[8656. 8797. 8863.]
31,250,671821122464.0037,360.868079019311,0.24808192253112793,49,[8166.424 8417.684 8440.624],[234.17794137 214.72009721 223.95800192],[7436. 7671. 7862.],[8656. 8797. 8863.]
32,250,671821122464.0037,359.3675974894829,0.3124969005584717,48,[8191.108 8408.072 8484.324],[224.90394469 215.6146628  202.33914852],[7498. 7605. 7862.],[8656. 8797. 8863.]
33,250,671821122464.0037,353.76498381359534,0.26281118392944336,47,[8218.132 8405.736 8492.728],[221.99400572 226.08850104 202.00684646],[7498. 7605. 7913.],[8656. 8797. 8863.]
34,250,671821122464.0037,331.5610852191463,0.26401710510253906,44,[8242.372 8398.636 8528.544],[217.9473735  222.65708052 196.85155845],[7498. 7605. 7920.],[8656. 8856. 8863.]
35,250,671821122464.0037,321.1820026013436,0.2530195713043213,44,[8253.46  8416.748 8534.304],[219.59457279 214.25940469 200.16142382],[7498. 7671. 7920.],[8664. 8856. 8920.]
36,250,671821122464.0037,337.16960215303993,0.27517199516296387,37,[8271.156 8414.064 8542.068],[230.04240406 214.60698009 208.40020964],[7498. 7671. 7920.],[8770. 8856. 8920.]
37,250,671821122464.0037,323.03904609639625,0.23320627212524414,44,[8294.892 8417.72  8537.564],[233.19151    217.33463967 207.15124403],[7498. 7671. 7920.],[8770. 8856. 8920.]
38,250,671821122464.0037,342.243687777343,0.25802087783813477,36,[8290.236 8426.052 8560.696],[240.1272419  221.39418533 197.3113975 ],[7498. 7564. 7883.],[8811. 8856. 8920.]
39,250,671821122464.0037,345.59084404965193,0.2630188465118408,39,[8299.632 8432.352 8584.364],[234.33144171 211.7286851  194.21830888],[7498. 7564. 7883.],[8811. 8856. 8989.]
40,250,700074247406.3695,329.57161761307384,0.2685227394104004,44,[8317.968 8427.996 8602.32 ],[228.24672391 213.77460089 186.54846448],[7498. 7564. 7883.],[8840. 8856. 8989.]
41,250,700074247406.3695,333.05055762365953,0.2968151569366455,51,[8323.632 8434.072 8601.104],[231.49320633 227.05090798 192.05242301],[7498. 7564. 7883.],[8840. 8985. 8989.]
42,250,700074247406.3695,336.4979692499292,0.25601959228515625,47,[8342.1   8452.52  8586.048],[233.79579551 220.64420591 194.43632813],[7498. 7564. 7883.],[8847. 8985. 8989.]
43,250,700074247406.3695,351.52825962440954,0.27510619163513184,49,[8363.072 8452.664 8599.228],[222.89302101 221.77631773 187.25623091],[7498. 7564. 7883.],[8847. 8985. 8989.]
44,250,700074247406.3695,351.813089445175,0.25401806831359863,46,[8362.136 8460.328 8606.332],[239.93713657 229.55753182 195.42938821],[7312. 7564. 7883.],[8847. 8985. 9048.]
45,250,700074247406.3695,340.2082281131862,0.2550199031829834,45,[8372.076 8473.872 8611.488],[234.71198995 211.99054605 196.15690112],[7312. 7851. 8022.],[8874. 8985. 9048.]
46,250,700074247406.3695,335.0015592480112,0.23517632484436035,46,[8377.808 8481.552 8612.968],[239.36204197 213.14361191 205.4155568 ],[7312. 7922. 7998.],[8874. 8985. 9048.]
47,250,700074247406.3695,338.2015759056563,0.2510342597961426,48,[8382.052 8493.436 8627.268],[240.75531416 211.25235597 199.56126923],[7312. 7922. 8022.],[8874. 8985. 9048.]
48,250,700074247406.3695,339.8633813923528,0.2720191478729248,60,[8399.576 8504.656 8644.796],[221.15877605 198.86693457 188.18030286],[7312. 7924. 8022.],[8874. 8985. 9048.]
49,250,700074247406.3695,342.16418041623655,0.246018648147583,65,[8396.4   8514.796 8647.28 ],[228.66275604 199.64278696 191.63060716],[7312. 7924. 8022.],[8874. 8985. 9048.]
50,250,716763949197.9707,351.0148417284217,0.2680201530456543,63,[8407.024 8518.64  8647.536],[223.35095125 202.66653991 193.91301324],[7312. 7924. 8022.],[8874. 8985. 9048.]
51,250,716763949197.9707,347.9304049633858,0.24301934242248535,70,[8426.256 8512.584 8665.952],[200.01839531 204.38384218 182.86991468],[7801. 7924. 8164.],[8874. 8985. 9048.]
52,250,716763949197.9707,347.86754577474017,0.24690794944763184,73,[8433.816 8505.86  8678.22 ],[201.41685665 207.67000843 174.74945379],[7801. 7924. 8168.],[8874. 8985. 9048.]
53,250,716763949197.9707,341.9314366916884,0.24202299118041992,72,[8463.004 8489.628 8688.264],[187.30709539 207.58273921 168.92209537],[7801. 7924. 8140.],[8874. 8985. 9048.]
54,250,716763949197.9707,343.17961937599887,0.2315216064453125,69,[8476.748 8485.2   8696.728],[185.64978992 209.73045559 169.87425354],[7801. 7924. 8140.],[8874. 8985. 9048.]
