gen,hypervol,time
0,63580734.5992504,0.11783719062805176
1,63580734.5992504,0.4024801254272461
2,63580734.5992504,0.38419651985168457
3,63580734.5992504,0.30904126167297363
4,63580734.5992504,0.28295302391052246
5,63580734.5992504,0.3527045249938965
6,63580734.5992504,0.2519822120666504
7,63580734.5992504,0.27824950218200684
8,63580734.5992504,0.301372766494751
9,63580734.5992504,0.28674840927124023
10,63580734.5992504,0.3156862258911133
11,63580734.5992504,0.2527143955230713
12,63580734.5992504,0.3788437843322754
13,63580734.5992504,0.26418614387512207
14,63580734.5992504,0.25528836250305176
15,63580734.5992504,0.29579901695251465
16,63580734.5992504,0.41724514961242676
17,63580734.5992504,0.2501058578491211
18,63580734.5992504,0.27463650703430176
19,63580734.5992504,0.31749629974365234
20,63580734.5992504,0.4588444232940674
21,63580734.5992504,0.4333066940307617
22,63580734.5992504,0.511254072189331
23,63580734.5992504,0.2915923595428467
24,63580734.5992504,0.24061203002929688
25,63580734.5992504,0.5817828178405762
26,63580734.5992504,0.40052199363708496
27,63580734.5992504,0.4143834114074707
28,63580734.5992504,0.4220547676086426
29,63580734.5992504,0.29980897903442383
30,63580734.5992504,0.37510132789611816
31,63580734.5992504,0.46538543701171875
32,63580734.5992504,0.27497053146362305
33,63580734.5992504,0.4282090663909912
34,63580734.5992504,0.3785252571105957
35,63580734.5992504,0.3487374782562256
36,63580734.5992504,0.3964059352874756
37,63580734.5992504,0.23197531700134277
38,63580734.5992504,0.5215120315551758
39,63580734.5992504,0.2313706874847412
40,63580734.5992504,0.29605531692504883
41,63580734.5992504,0.40691113471984863
42,63580734.5992504,0.3172430992126465
43,63580734.5992504,0.32558441162109375
44,63580734.5992504,0.3140549659729004
45,63580734.5992504,0.3249678611755371
46,63580734.5992504,0.26657772064208984
47,63580734.5992504,0.34912729263305664
48,63580734.5992504,0.3480226993560791
49,63580734.5992504,0.27681660652160645
50,63580734.5992504,0.20525074005126953
51,63580734.5992504,0.33033227920532227
52,63580734.5992504,0.3172311782836914
53,63580734.5992504,0.29529666900634766
54,63580734.5992504,0.1960592269897461
55,63580734.5992504,0.24676012992858887
56,63580734.5992504,0.23477602005004883
57,63580734.5992504,0.31853675842285156
58,63580734.5992504,0.24742555618286133
59,63580734.5992504,0.26080799102783203
60,63580734.5992504,0.24637269973754883
61,63580734.5992504,0.2331833839416504
62,63580734.5992504,0.24743390083312988
63,63580734.5992504,0.3810422420501709
64,63580734.5992504,0.31740903854370117
65,63580734.5992504,0.3496668338775635
66,63580734.5992504,0.475543737411499
67,63580734.5992504,0.36728692054748535
68,63580734.5992504,0.3100273609161377
69,63580734.5992504,0.4957590103149414
70,63580734.5992504,0.30921149253845215
71,63580734.5992504,0.2130582332611084
72,63580734.5992504,0.2904679775238037
73,63580734.5992504,0.31325197219848633
74,63580734.5992504,0.3321554660797119
75,63580734.5992504,0.5118701457977295
76,63580734.5992504,0.3660585880279541
77,63580734.5992504,0.3421800136566162
78,63580734.5992504,0.2613205909729004
79,63580734.5992504,0.4043099880218506
80,63580734.5992504,0.5556023120880127
81,63580734.5992504,0.2465214729309082
82,63580734.5992504,0.2867739200592041
83,63580734.5992504,0.2531404495239258
84,63580734.5992504,0.2596151828765869
85,63580734.5992504,0.2745027542114258
86,63580734.5992504,0.22308015823364258
87,63580734.5992504,0.24522066116333008
88,63580734.5992504,0.33020734786987305
89,63580734.5992504,0.21343088150024414
90,63580734.5992504,0.31255578994750977
91,63580734.5992504,0.4542059898376465
92,63580734.5992504,0.3745229244232178
93,63580734.5992504,0.44666099548339844
94,63580734.5992504,0.39418482780456543
95,63580734.5992504,0.36821579933166504
96,63580734.5992504,0.25174927711486816
97,63580734.5992504,0.1949455738067627
98,63580734.5992504,0.19752860069274902
99,63580734.5992504,0.23580336570739746
100,63580734.5992504,0.1973564624786377
101,63580734.5992504,0.22030162811279297
102,63580734.5992504,0.28669261932373047
103,63580734.5992504,0.36374688148498535
104,63580734.5992504,0.23272228240966797
105,63580734.5992504,0.4097263813018799
106,63580734.5992504,0.39180898666381836
107,63580734.5992504,0.3066825866699219
108,63580734.5992504,0.25575971603393555
109,63580734.5992504,0.2950010299682617
110,63580734.5992504,0.4371607303619385
111,63580734.5992504,0.30927014350891113
112,63580734.5992504,0.21722412109375
113,63580734.5992504,0.20732378959655762
114,63580734.5992504,0.34116077423095703
115,63580734.5992504,0.2027897834777832
116,63580734.5992504,0.50028395652771
117,63580734.5992504,0.23607778549194336
118,63580734.5992504,0.23908543586730957
119,63580734.5992504,0.34051513671875
120,63580734.5992504,0.44310641288757324
121,63580734.5992504,0.26379942893981934
122,63580734.5992504,0.2294447422027588
123,63580734.5992504,0.3134799003601074
124,63580734.5992504,0.22818613052368164
125,63580734.5992504,0.20137858390808105
126,63580734.5992504,0.2604215145111084
127,63580734.5992504,0.1739964485168457
128,63580734.5992504,0.2810509204864502
129,63580734.5992504,0.23462343215942383
130,63580734.5992504,0.29477477073669434
131,63580734.5992504,0.19622159004211426
132,63580734.5992504,0.22101426124572754
133,63580734.5992504,0.25417041778564453
134,63580734.5992504,0.3215606212615967
135,63580734.5992504,0.49560117721557617
136,63580734.5992504,0.31445741653442383
137,63580734.5992504,0.22776031494140625
138,63580734.5992504,0.256028413772583
139,63580734.5992504,0.2774691581726074
140,63580734.5992504,0.1817483901977539
141,63580734.5992504,0.19303131103515625
142,63580734.5992504,0.2123563289642334
143,63580734.5992504,0.23418855667114258
144,63580734.5992504,0.2014460563659668
145,63580734.5992504,0.23374605178833008
146,63580734.5992504,0.355196475982666
147,63580734.5992504,0.2732973098754883
148,63580734.5992504,0.2080678939819336
149,63580734.5992504,0.18821167945861816
150,63580734.5992504,0.24608612060546875
151,63580734.5992504,0.24005842208862305
152,63580734.5992504,0.2640676498413086
153,63580734.5992504,0.233412504196167
154,63580734.5992504,0.26564836502075195
155,63580734.5992504,0.28597235679626465
156,63580734.5992504,0.20003271102905273
157,63580734.5992504,0.20005059242248535
158,63580734.5992504,0.2640535831451416
159,63580734.5992504,0.2168421745300293
160,63580734.5992504,0.232041597366333
161,63580734.5992504,0.21605443954467773
162,63580734.5992504,0.1772141456604004
163,63580734.5992504,0.2880520820617676
164,63580734.5992504,0.3120768070220947
165,63580734.5992504,0.25585389137268066
166,63580734.5992504,0.4175593852996826
167,63580734.5992504,0.22033143043518066
168,63580734.5992504,0.3414297103881836
169,63580734.5992504,0.32224035263061523
170,63580734.5992504,0.28925442695617676
171,63580734.5992504,0.2892186641693115
172,63580734.5992504,0.2809138298034668
173,63580734.5992504,0.34180331230163574
174,63580734.5992504,0.3040783405303955
175,63580734.5992504,0.24457788467407227
176,63580734.5992504,0.2677342891693115
177,63580734.5992504,0.22575688362121582
178,63580734.5992504,0.30892300605773926
179,63580734.5992504,0.22527027130126953
180,63580734.5992504,0.34150052070617676
181,63580734.5992504,0.4409980773925781
182,63580734.5992504,0.233778715133667
183,63580734.5992504,0.3090999126434326
184,63580734.5992504,0.4010648727416992
185,63580734.5992504,0.44736552238464355
186,63580734.5992504,0.2272815704345703
187,63580734.5992504,0.21551084518432617
188,63580734.5992504,0.33435916900634766
189,63580734.5992504,0.3054683208465576
190,63580734.5992504,0.366365909576416
191,63580734.5992504,0.3949298858642578
192,63580734.5992504,0.23484325408935547
193,63580734.5992504,0.42089176177978516
194,63580734.5992504,0.3856637477874756
195,63580734.5992504,0.3517165184020996
196,63580734.5992504,0.22641658782958984
197,63580734.5992504,0.3723771572113037
198,63580734.5992504,0.35031604766845703
199,63580734.5992504,0.24428176879882812
200,63580734.5992504,0.3131260871887207
201,63580734.5992504,0.2941427230834961
202,63580734.5992504,0.19637084007263184
203,63580734.5992504,0.20495223999023438
204,63580734.5992504,0.44997072219848633
205,63580734.5992504,0.3866238594055176
206,63580734.5992504,0.3243095874786377
207,63580734.5992504,0.3667938709259033
208,63580734.5992504,0.21293425559997559
209,63580734.5992504,0.31069207191467285
210,63580734.5992504,0.35190677642822266
211,63580734.5992504,0.23858976364135742
212,63580734.5992504,0.4334859848022461
213,63580734.5992504,0.38908958435058594
214,63580734.5992504,0.3553452491760254
215,63580734.5992504,0.514763593673706
216,63580734.5992504,0.42757606506347656
217,63580734.5992504,0.35180091857910156
218,63580734.5992504,0.40049171447753906
219,63580734.5992504,0.18620705604553223
220,63580734.5992504,0.23763370513916016
221,63580734.5992504,0.26786136627197266
222,63580734.5992504,0.20996475219726562
